symbol,earnings_date,trading_date,source,confidence,release_time,eps_actual,eps_estimate,eps_surprise_pct
AIG,2025-05-01,2025-05-02,yahoo,actual,unknown,1.16,0.97,20.17
AIG,2025-08-06,2025-08-07,yahoo,actual,unknown,1.98,1.69,17.24
AIG,2025-11-04,2025-11-05,yahoo,actual,unknown,2.2,1.71,28.5
AIT,2024-01-25,2024-01-26,yahoo,actual,unknown,2.24,2.11,6.33
AIT,2024-04-25,2024-04-26,yahoo,actual,unknown,2.47,2.4,2.92
AIT,2024-08-15,2024-08-16,yahoo,actual,unknown,2.65,2.51,5.47
AIT,2024-10-24,2024-10-25,yahoo,actual,unknown,2.36,2.26,4.23
AIT,2025-01-29,2025-01-30,yahoo,actual,unknown,2.39,2.21,7.96
AIT,2025-05-01,2025-05-02,yahoo,actual,unknown,2.57,2.41,6.64
AIT,2025-08-14,2025-08-15,yahoo,actual,unknown,2.8,2.63,6.67
AIT,2025-10-28,2025-10-29,yahoo,actual,unknown,2.63,2.48,5.94
AIZ,2024-02-06,2024-02-07,yahoo,actual,unknown,4.58,3.71,23.34
AIZ,2024-05-07,2024-05-08,yahoo,actual,unknown,4.78,3.92,21.92
AIZ,2024-08-06,2024-08-07,yahoo,actual,unknown,4.08,3.61,13.12
AIZ,2024-11-05,2024-11-06,yahoo,actual,unknown,3.0,2.64,13.57
AIZ,2025-02-11,2025-02-12,yahoo,actual,unknown,4.79,4.13,15.89
AIZ,2025-05-06,2025-05-07,yahoo,actual,unknown,3.39,2.78,22.1
AIZ,2025-08-05,2025-08-06,yahoo,actual,unknown,5.1,4.45,14.51
AIZ,2025-11-04,2025-11-05,yahoo,actual,unknown,5.17,4.36,18.63
AJG,2024-01-25,2024-01-26,yahoo,actual,unknown,1.85,1.85,-0.06
AJG,2024-04-25,2024-04-26,yahoo,actual,unknown,3.49,3.41,2.46
AJG,2024-07-25,2024-07-26,yahoo,actual,unknown,1.27,1.58,-19.85
AJG,2024-10-24,2024-10-25,yahoo,actual,unknown,2.26,2.27,-0.58
AJG,2025-01-30,2025-01-31,yahoo,actual,unknown,2.13,2.03,4.98
AJG,2025-05-01,2025-05-02,yahoo,actual,unknown,2.72,2.93,-7.01
AJG,2025-07-31,2025-08-01,yahoo,actual,unknown,2.33,2.34,-0.57
AJG,2025-10-30,2025-10-31,yahoo,actual,unknown,1.04,1.65,-36.78
AKAM,2024-02-13,2024-02-14,yahoo,actual,unknown,1.69,1.61,4.75
AKAM,2024-05-09,2024-05-10,yahoo,actual,unknown,1.64,1.61,1.96
AKAM,2024-08-08,2024-08-09,yahoo,actual,unknown,1.58,1.53,3.02
AKAM,2024-11-07,2024-11-08,yahoo,actual,unknown,0.38,0.96,-60.45
AKAM,2025-02-20,2025-02-21,yahoo,actual,unknown,1.66,1.52,8.98
AKAM,2025-05-08,2025-05-09,yahoo,actual,unknown,1.7,1.57,8.58
AKAM,2025-08-07,2025-08-08,yahoo,actual,unknown,1.73,1.53,13.18
AKAM,2025-11-06,2025-11-07,yahoo,actual,unknown,1.86,1.64,13.71
AL,2024-02-15,2024-02-16,yahoo,actual,unknown,1.92,1.61,19.32
AL,2024-05-06,2024-05-07,yahoo,actual,unknown,1.31,1.23,6.43
AL,2024-08-01,2024-08-02,yahoo,actual,unknown,1.23,1.08,13.5
AL,2024-11-07,2024-11-08,yahoo,actual,unknown,1.25,0.8,57.2
AL,2025-02-13,2025-02-14,yahoo,actual,unknown,1.34,0.75,79.63
AL,2025-05-05,2025-05-06,yahoo,actual,unknown,3.26,1.66,96.18
AL,2025-08-04,2025-08-05,yahoo,actual,unknown,1.09,0.85,28.62
AL,2025-11-03,2025-11-04,yahoo,actual,unknown,1.21,1.09,11.16
ALAB,2024-05-08,2024-05-09,yahoo,actual,unknown,0.27,0.07,315.22
ALAB,2024-08-06,2024-08-07,yahoo,actual,unknown,0.13,0.11,18.98
ALAB,2024-11-04,2024-11-05,yahoo,actual,unknown,0.23,0.17,34.97
ALAB,2025-02-10,2025-02-11,yahoo,actual,unknown,0.37,0.26,42.84
ALAB,2025-05-06,2025-05-07,yahoo,actual,unknown,0.33,0.28,16.3
ALAB,2025-08-05,2025-08-06,yahoo,actual,unknown,0.44,0.32,35.74
